AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2023,12,Araba/alava,America,Argentina,62,558,9
2023,12,Asturias,America,Argentina,200,1760,8.8
2023,12,Badajoz,America,Argentina,62,360,5.8
2023,12,Barcelona,America,Argentina,6776,44044,6.5
2023,12,Bizkaia,America,Argentina,157,1256,8
2023,12,Burgos,America,Argentina,76,486,6.4
2023,12,Cantabria,America,Argentina,103,803,7.8
2023,12,Castellon/Castello,America,Argentina,140,994,7.1
2023,12,Ciudad Real,America,Argentina,45,306,6.8
2023,12,Cuenca,America,Argentina,45,185,4.1
2023,12,Cadiz,America,Argentina,146,1285,8.8
2023,12,Cordoba,America,Argentina,62,484,7.8
2023,12,Gipuzkoa,America,Argentina,190,1368,7.2
2023,12,Girona,America,Argentina,334,2238,6.7
2023,12,Granada,America,Argentina,318,2290,7.2
2023,12,Guadalajara,America,Argentina,66,356,5.4
2023,12,Huesca,America,Argentina,51,525,10.3
2023,12,Illes Balears,America,Argentina,833,6497,7.8
2023,12,La Rioja,America,Argentina,55,319,5.8
2023,12,Las Palmas,America,Argentina,361,2347,6.5
2023,12,Leon,America,Argentina,89,819,9.2
2023,12,Lleida,America,Argentina,207,1242,6
2023,12,Lugo,America,Argentina,47,273,5.8
2023,12,Madrid,America,Argentina,13975,65683,4.7
2023,12,Murcia,America,Argentina,126,857,6.8
2023,12,Malaga,America,Argentina,1693,14560,8.6
2023,12,Navarra,America,Argentina,142,1051,7.4
2023,12,Ourense,America,Argentina,51,332,6.5
2023,12,Pontevedra,America,Argentina,251,2234,8.9
2023,12,Salamanca,America,Argentina,63,416,6.6
2023,12,Santa Cruz de Tenerife,America,Argentina,290,2320,8
2023,12,Sevilla,America,Argentina,355,2805,7.9
2023,12,Soria,America,Argentina,66,396,6
2023,12,Tarragona,America,Argentina,363,2541,7
2023,12,Toledo,America,Argentina,162,972,6
2023,12,Total Nacional,America,Argentina,31571,193993,6.1
2023,12,Valencia/València,America,Argentina,1586,12847,8.1
2023,12,Valladolid,America,Argentina,63,454,7.2
2023,12,Zaragoza,America,Argentina,191,1299,6.8
2023,12,avila,America,Argentina,45,239,5.3
2024,1,A Coruna,America,Argentina,219,2365,10.8
2024,1,Alicante/Alacant,America,Argentina,722,7292,10.1
2024,1,Almeria,America,Argentina,114,1243,10.9
2024,1,Araba/alava,America,Argentina,30,252,8.4
2024,1,Asturias,America,Argentina,135,1553,11.5
2024,1,Barcelona,America,Argentina,5052,38900,7.7
2024,1,Bizkaia,America,Argentina,144,1397,9.7
2024,1,Burgos,America,Argentina,40,268,6.7
2024,1,Cantabria,America,Argentina,52,541,10.4
2024,1,Castellon/Castello,America,Argentina,105,851,8.1
2024,1,Caceres,America,Argentina,32,310,9.7
2024,1,Cadiz,America,Argentina,94,902,9.6
2024,1,Cordoba,America,Argentina,72,504,7
2024,1,Gipuzkoa,America,Argentina,156,1092,7
2024,1,Girona,America,Argentina,218,1679,7.7
2024,1,Granada,America,Argentina,260,2158,8.3
2024,1,Guadalajara,America,Argentina,53,408,7.7
2024,1,Huesca,America,Argentina,45,369,8.2
2024,1,Illes Balears,America,Argentina,531,4726,8.9
2024,1,La Rioja,America,Argentina,54,621,11.5
2024,1,Las Palmas,America,Argentina,277,2715,9.8
2024,1,Leon,America,Argentina,42,420,10
2024,1,Lleida,America,Argentina,143,1087,7.6
2024,1,Lugo,America,Argentina,37,385,10.4
2024,1,Madrid,America,Argentina,10381,61248,5.9
2024,1,Murcia,America,Argentina,97,1019,10.5
2024,1,Malaga,America,Argentina,1294,12034,9.3
2024,1,Navarra,America,Argentina,73,730,10
2024,1,Ourense,America,Argentina,30,300,10
2024,1,Pontevedra,America,Argentina,159,1558,9.8
2024,1,Salamanca,America,Argentina,61,445,7.3
2024,1,Santa Cruz de Tenerife,America,Argentina,227,2384,10.5
2024,1,Sevilla,America,Argentina,341,3103,9.1
2024,1,Tarragona,America,Argentina,269,2825,10.5
2024,1,Toledo,America,Argentina,105,672,6.4
2024,1,Total Nacional,America,Argentina,23222,171696,7.4
2024,1,Valencia/València,America,Argentina,1135,9761,8.6
2024,1,Valladolid,America,Argentina,44,273,6.2
2024,1,Zaragoza,America,Argentina,105,903,8.6
2024,2,A Coruna,America,Argentina,212,1866,8.8
2024,2,Alicante/Alacant,America,Argentina,566,4924,8.7
2024,2,Almeria,America,Argentina,84,781,9.3
2024,2,Asturias,America,Argentina,113,1028,9.1
2024,2,Barcelona,America,Argentina,5329,35704,6.7
2024,2,Bizkaia,America,Argentina,115,989,8.6
2024,2,Burgos,America,Argentina,42,248,5.9
2024,2,Cantabria,America,Argentina,45,360,8
2024,2,Castellon/Castello,America,Argentina,91,774,8.5
2024,2,Cadiz,America,Argentina,74,570,7.7
2024,2,Cordoba,America,Argentina,81,494,6.1
2024,2,Gipuzkoa,America,Argentina,127,940,7.4
2024,2,Girona,America,Argentina,236,1581,6.7
2024,2,Granada,America,Argentina,244,1635,6.7
2024,2,Guadalajara,America,Argentina,37,266,7.2
2024,2,Illes Balears,America,Argentina,510,3570,7
2024,2,Las Palmas,America,Argentina,292,2015,6.9
